numero_dpe;adresse_ban;numero_voie_ban;nom_rue_ban;nom_commune_ban;code_postal_ban;code_insee_ban;code_departement_ban;code_region_ban;identifiant_ban;statut_geocodage;adresse_brut;nom_commune_brut;code_postal_brut
2138N0040677I;Route de Panissage 38730 Chélieu;;;Chélieu;38730;38098;38;84;38098_0120;adresse non géocodée ban car aucune correspondance trouvée;Route de Panissage;CHELIEU;38730
2438N2065495B;22 Rue Francisque Cartallier 38780 Pont-Évêque;22;Rue Francisque Cartallier;Pont-Évêque;38780;38318;38;84;38318_0025_00022;adresse géocodée ban à l'adresse;22 Rue Francisque Cartallier;PONT EVEQUE;38780
2138N0753176D;Avenue de la République 38130 Echirolles;113a;Avenue de la république;Echirolles;38130;38151;38;84;38151_0550;adresse géocodée ban à l'adresse;113a Avenue de la république;Echirolles;38130
2238N2291294O;Chemin des Vignes 38140 Rives;;Chemin des Vignes;Rives;38140;38337;38;84;38337_0340;adresse non géocodée ban car aucune correspondance trouvée;Chemin des vignes;RIVES;38140
2138N0622648V;Rue du Bourg 38800 Champagnier;;Rue du Bourg;Champagnier;38800;38068;38;84;38068_0014;adresse non géocodée ban car aucune correspondance trouvée;Rue du 19 mars 1962;CHAMPAGNIER;38800
2238N0580565H;249 Rue de la Convention 38670 Chasse-sur-Rhône;249;Rue de la Convention;Chasse-sur-Rhône;38670;38087;38;84;38087_0198_00249;adresse non géocodée ban car aucune correspondance trouvée;221, 249 rue de la Convention;CHASSE-SUR-RHONE;38670
2338N4171440X;Route de Lyon 38300 Bourgoin-Jallieu;;Route de Lyon;Bourgoin-Jallieu;38300;38053;38;84;38053_0557;adresse géocodée ban à l'adresse;LE KATTLEYA_BAT A;;
;;;;;;;;;;;;;
2138N1042960R;Avenue de la Republique 38090 Villefontaine;;Avenue de la Republique;Villefontaine;38090;38553;38;84;38553_0710;adresse non géocodée ban car aucune correspondance trouvée;Avenue de la République;VILLEFONTAINE;38090
2238N0787771T;Chemin du Mourachat 38410 Vaulnaveys-le-Haut;;Chemin du Mourachat;Vaulnaveys-le-Haut;38410;38529;38;84;38529_0430;adresse non géocodée ban car aucune correspondance trouvée;Lieu-dit ''Perretaire et Mourachat'';VAULNAVEYS-LE-HAUT;38410
2438N3297322A;Rue Gérard Vernay 38090 Roche;;Rue Gérard Vernay;Roche;38090;38339;38;84;38339_0001;adresse non géocodée ban car aucune correspondance trouvée;rue Gérard VERNAY;ROCHE;38090
2338N3992704L;Rue George Sand 38500 Voiron;;Rue George Sand;Voiron;38500;38563;38;84;38563_0660;adresse non géocodée ban car aucune correspondance trouvée;Rue George Sand;Voiron;38500
2338N2189970N;Impasse du Vieux Lavoir 38160 Chatte;;Impasse du Vieux Lavoir;Chatte;38160;38095;38;84;38095_bht770;adresse géocodée ban à l'adresse;"Lieu-dit ""Saint Just"" - Impasse du Vieux Lavoir";CHATTE;38160
2238N2175856Q;Chemin du Pressoir 38690 Biol;;;Biol;38690;38044;38;84;38044_0610;adresse géocodée ban à l'adresse;Chemin du Pressoir;BIOL;38690
2438N0726797R;Montée de Montfort 38780 Eyzin-Pinet;;Montée de Montfort;Eyzin-Pinet;38780;38160;38;84;38160_o6v2jy;adresse non géocodée ban car aucune correspondance trouvée;Lotissement '' Les terrasses du château ''  Montée de Montfort;EYZIN-PINET;38780
2238N0637142I;Rue Bois Pilon 38550 Le Péage-de-Roussillon;;Rue du Bois PIlon;Le Péage-de-Roussillon;38550;38298;38;84;38298_0120;adresse géocodée ban à l'adresse;Rue du Bois PIlon;Le Péage-de-Roussillon;38550
2238N2459310S;Chemin de Champ Chabert 38500 La Buisse;;;La Buisse;38500;38061;38;84;38061_0028;adresse géocodée ban à l'adresse;de Champ Chabert;LA BUISSE;38500
2138N0753222X;Avenue de la République 38130 Echirolles;113a;Avenue de la république;Echirolles;38130;38151;38;84;38151_0550;adresse géocodée ban à l'adresse;113a Avenue de la république;Echirolles;38130
2338N2415220Z;Rue Voltaire 38400 Saint-Martin-d'Hères;;Rue Voltaire;Saint-Martin-d'Hères;38400;38421;38;84;38421_1032;adresse non géocodée ban car aucune correspondance trouvée;LA PLAINE VOLTAIRE;SAINT-MARTIN-D'HERES;38400
2338N1298678B;Route de Lyon 38110 Cessieu;;Route de Lyon;Cessieu;38110;38064;38;84;38064_0670;adresse non géocodée ban car aucune correspondance trouvée;de Lyon;CESSIEU;38110
2438N0360277T;Chemin de l’Agnelas 38700 La Tronche;;Chemin de l’Agnelas;La Tronche;38700;38516;38;84;38516_0010;adresse non géocodée ban car aucune correspondance trouvée;Rue de l'Agnelas;LA TRONCHE;38700
2338N0513936R;2 Rue du Muret 38320 Eybens;2;Rue du Muret;Eybens;38320;38158;38;84;38158_0180_00002;adresse géocodée ban à l'adresse;Résidence NEPTUNE;;
;;;;;;;;;;;;;
2138N0474817A;Chemin des Vernes 38220 Montchaboud;;;Montchaboud;38220;38252;38;84;38252_0150;adresse non géocodée ban car aucune correspondance trouvée;LES VERNES;MONTCHABOUD;38220
2238N3025174S;Rue Alfred Buttin 38140 Rives;;;Rives;38140;38337;38;84;38337_0020;adresse géocodée ban à l'adresse;Rue Alfred Buttin;RIVES;38140
2138N0592982V;Rue de Belledonne 38920 Crolles;;rue Marcel Reynaud, Zone grand triangle;Crolles;38920;38140;38;84;38140_0120;adresse géocodée ban à l'adresse;rue Marcel Reynaud, Zone grand triangle;Crolles;38920
2238N3151435X;Rue de Belle-Rive 38300 Bourgoin-Jallieu;;Rue de Belle-Rive;Bourgoin-Jallieu;38300;38053;38;84;38053_0075;adresse non géocodée ban car aucune correspondance trouvée;38 RUE DE BELLE RIVE LOTIST LE HAMEAU DE BELLE RIV;BOURGOIN JALLIEU;38300
2338N1052047G;58 Allee de la Croix du Berche 38530 Chapareillan;58;Allee de la Croix du Berche;Chapareillan;38530;38075;38;84;38075_0100_00058;adresse non géocodée ban car aucune correspondance trouvée;58 Allée de la croix du berches;CHAPAREILLAN;38530
2138N0582934J;Rue le Poulet 38240 Meylan;;Rue le Poulet;Meylan;38240;38229;38;84;38229_0630;adresse non géocodée ban car aucune correspondance trouvée;Lieu dit le Charlaix;MEYLAN;38240
2238N0378103H;Crolles;;Rue Marcel Reynaud;Crolles;38920;38140;38;84;38140;adresse géocodée ban à l'adresse;Rue Marcel Reynaud;Crolles;38920
2338N0215887G;Impasse le Cuaz 38490 Les Abrets en Dauphiné;;Impasse le Cuaz;Les Abrets en Dauphiné;38490;38001;38;84;38028_0066;adresse non géocodée ban car aucune correspondance trouvée;Lieudit ''Le Cuaz - AB356'';LES ABRETS;38490
2438N1606221R;Route d’Hurtieres 38570 Tencin;;Route d’Hurtieres;Tencin;38570;38501;38;84;38501_0140;adresse non géocodée ban car aucune correspondance trouvée;Route d'Hurtières;TENCIN;38570
2438N4296348C;40 Rue Lavoisier 38550 Le Péage-de-Roussillon;40;Rue Lavoisier;Le Péage-de-Roussillon;38550;38298;38;84;38298_0430_00040;adresse non géocodée ban car aucune correspondance trouvée;40 rue Lavoisier;LE PÉAGE-DE-ROUSSILLON;38550
2438N1111761Z;Rue Thiers 38800 Le Pont-de-Claix;;Rue Thiers;Le Pont-de-Claix;38800;38317;38;84;38317_0480;adresse non géocodée ban car aucune correspondance trouvée;ZAC Les Minotiers;PONT DE CLAIX;38800
2238N2506912O;10 Impasse de Jardins de Casta 38160 Chatte;10;Impasse de Jardins de Casta;Chatte;38160;38095;38;84;38095_d3fvha_00010;adresse non géocodée ban car aucune correspondance trouvée;10 Impasse les Jardins de Casta - Appt 16 1er étage;CHATTE;38160
2238N1028502Q;Rue Eugene Ravanat 38320 Eybens;;Rue Eugene Ravanat;Eybens;38320;38158;38;84;38158_0062;adresse non géocodée ban car aucune correspondance trouvée;rue Ravanat;EYBENS;38320
2438N0261122C;Route de Saint Nicolas 38960 Saint-Étienne-de-Crossey;;Route de Saint Nicolas;Saint-Étienne-de-Crossey;38960;38383;38;84;38383_0097;adresse non géocodée ban car aucune correspondance trouvée;Route de Saint Nicolas;SAINT-ETIENNE-DE-CROSSEY;38960
2338N2415238R;Rue Voltaire 38400 Saint-Martin-d'Hères;;Rue Voltaire;Saint-Martin-d'Hères;38400;38421;38;84;38421_1032;adresse non géocodée ban car aucune correspondance trouvée;LA PLAINE VOLTAIRE;SAINT-MARTIN-D'HERES;38400
2238N0779123D;Rue des Glières 38760 Varces-Allières-et-Risset;;Rue des Glières;Varces-Allières-et-Risset;38760;38524;38;84;38524_0060;adresse non géocodée ban car aucune correspondance trouvée;ZAC des Coins - La Giraudières;VARCES-ALLIERES-ET-RISSET;38760
2338N0381926J;Rue du Lac 38070 Saint-Quentin-Fallavier;;;Saint-Quentin-Fallavier;38070;38449;38;84;38449_0250;adresse géocodée ban à l'adresse;Rue du Lac;SAINT-QUENTIN-FALLAVIER;38070
2138N0879159Q;L’Etang 38080 L'Isle-d'Abeau;;;L'Isle-d'Abeau;38080;38193;38;84;38193_ruows0;adresse géocodée ban à l'adresse;de L’Etang;L'ISLE-D'ABEAU;38080
2238N2291307B;Chemin des Vignes 38140 Rives;;Chemin des Vignes;Rives;38140;38337;38;84;38337_0340;adresse non géocodée ban car aucune correspondance trouvée;Chemin des vignes;RIVES;38140
2238N0446455F;Rue des Sources 38920 Crolles;;Rue des Sources;Crolles;38920;38140;38;84;38140_0604;adresse non géocodée ban car aucune correspondance trouvée;RUE DES SOURCES;CROLLES;38920
2138N0169687G;Chemin des Bruyères 38110 Dolomieu;;Chemin des Bruyères;Dolomieu;38110;38148;38;84;38148_0180;adresse non géocodée ban car aucune correspondance trouvée;Chemin des Bruyères;DOLOMIEU;38110
2338N3958863W;6 Rue Normandie Niemen 38130 Échirolles;6;Rue Normandie Niemen;Échirolles;38130;38151;38;84;38151_0439_00006;adresse non géocodée ban car aucune correspondance trouvée;6 rue Normandie Niemen;ECHIROLLES;38130
2138N0532033Q;Rue Olympe de Gouges 38320 Eybens;;1, rue Olympe de Gouges;Eybens;38320;38158;38;84;38158_0182;adresse géocodée ban à l'adresse;1, rue Olympe de Gouges;Eybens;38320
2338N3871387K;Route de l’Altiport 38750 Huez;;Route de l’Altiport;Huez;38750;38191;38;84;38191_0005;adresse non géocodée ban car aucune correspondance trouvée;Route de l'Altiport;ALPE D'HUEZ;38750
2238N1331218O;Allée France Gall 38670 Chasse-sur-Rhône;;Allée France Gall;Chasse-sur-Rhône;38670;38087;38;84;38087_xs6toy;adresse non géocodée ban car aucune correspondance trouvée;149 Allée France Gall;CHASSE-SUR-RHONE;38670
2238N1932602S;Rue Pierre Dalloz 38360 Sassenage;;Rue Pierre Dalloz;Sassenage;38360;38474;38;84;38474_0063;adresse non géocodée ban car aucune correspondance trouvée;PIERRE DALLOZ;SASSENAGE;38360
2338N3852791E;17 Rue Marbeuf 38100 Grenoble;17;Rue Marbeuf;Grenoble;38100;38185;38;84;38185_4680_00017;adresse non géocodée ban car aucune correspondance trouvée;17 RUE MARBEUF;GRENOBLE;38000
2438N1341871J;rue de l'isere 38120 Saint-Égrève;;rue de l'isere;Saint-Égrève;38120;38382;38;84;38382_0290;adresse non géocodée ban car aucune correspondance trouvée;Rue de l'Isère;SAINT-EGREVE;38120
2338N0992193E;40 112 Route de Crémieu 38230 Tignieu-Jameyzieu;40;112 Route de Crémieu;Tignieu-Jameyzieu;38230;38507;38;84;38507_16h1rt_00040;adresse géocodée ban à l'adresse;de Crémieu;TIGNIEU-JAMEYZIEU;38230
2238N1155577D;Boulevard Franklin Roosevelt 38500 Voiron;;Boulevard Franklin Roosevelt;Voiron;38500;38563;38;84;38563_0550;adresse non géocodée ban car aucune correspondance trouvée;Boulevard Franklin Roosevelt et Denfert Rochereau;Voiron;38500
2238N3117589D;Rue 93 Ème Ram 38750 Huez;;Rue 93 Ème Ram;Huez;38750;38191;38;84;38191_0430;adresse non géocodée ban car aucune correspondance trouvée;Rue du 93ème Ram ALPE D'HUEZ;L ALPE D HUEZ;38750
2238N2279547T;Rue Emile Romanet 38370 Saint-Clair-du-Rhône;;;Saint-Clair-du-Rhône;38370;38378;38;84;38378_0310;adresse géocodée ban à l'adresse;Clair Romanet B;;
;;;;;;;;;;;;;
2238N1456948I;Rue du Jouffrey 38180 Seyssins;;Rue du Jouffrey;Seyssins;38180;38486;38;84;38486_0670;adresse non géocodée ban car aucune correspondance trouvée;Rue du JOUFFREY;SEYSSINS;38180
2238N3114584O;Rue 93 Ème Ram 38750 Huez;;Rue 93 Ème Ram;Huez;38750;38191;38;84;38191_0430;adresse non géocodée ban car aucune correspondance trouvée;Rue du 93ème Ram ALPE D'HUEZ;L ALPE D HUEZ;38750
2238N2596636M;Allée de la Batie 38330 Saint-Ismier;;;Saint-Ismier;38330;38397;38;84;38397_0026;adresse géocodée ban à l'adresse;GROUPE 20015;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2238N0438798S;Avenue Charles de Gaulle 38800 Le Pont-de-Claix;;Avenue Charles de Gaulle / Rue de la Paix;Le Pont-de-Claix;38800;38317;38;84;38317_0175;adresse géocodée ban à l'adresse;Avenue Charles de Gaulle / Rue de la Paix;Le Pont-de-Claix;38800
2438N2152793R;Avenue du Granier 38240 Meylan;;Avenue du Granier;Meylan;38240;38229;38;84;38229_0383;adresse non géocodée ban car aucune correspondance trouvée;AVENUE DU GRANIER;MEYLAN;38240
2138N0569795A;50 Chemin des Grives 38420 Domène;50;Chemin des Grives;Domène;38420;38150;38;84;38150_0430_00050;adresse non géocodée ban car aucune correspondance trouvée;50 Chemin des Grives;DOMÈNE;38420
2438N1028989L;Avenue Jean Jaures 38320 Eybens;;Avenue Jean Jaures;Eybens;38320;38158;38;84;38158_mk4w9a;adresse non géocodée ban car aucune correspondance trouvée;24 Jean Jaures;Eybens;38320
2338N1674224D;Avenue de Claix 38180 Seyssins;;Avenue de Claix;Seyssins;38180;38486;38;84;38486_0350;adresse géocodée ban à l'adresse;Résidence Terre Blanche,;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
2238N2249578C;80 Chemin du Marais 38410 Vaulnaveys-le-Haut;80;Chemin du Marais;Vaulnaveys-le-Haut;38410;38529;38;84;38529_0350_00080;adresse non géocodée ban car aucune correspondance trouvée;80 Chemin du Marais Lieu dit  LA FAURIE;VAULNAVEYS LE HAUT;38410
2438N0355136A;Chemin de l’Agnelas 38700 La Tronche;;Chemin de l’Agnelas;La Tronche;38700;38516;38;84;38516_0010;adresse non géocodée ban car aucune correspondance trouvée;Rue de l'Agnelas;LA TRONCHE;38700
2238N0901116E;20 Rue Monge 38100 Grenoble;20;Rue Monge;Grenoble;38100;38185;38;84;38185_5090_00020;adresse non géocodée ban car aucune correspondance trouvée;20 Rue Monge;GRENOBLE;38100
2238N3115441N;Lotissement Combe de la Lay 38150 Vernioz;;Lotissement Combe de la Lay;Vernioz;38150;38536;38;84;38536_A015;adresse non géocodée ban car aucune correspondance trouvée;Rue de la Boucle Lotissement ''Castel Park'' - Lot;VERNIOZ;38150
2338N2577838N;16 Rue de la République 38360 Sassenage;16;Rue de la République;Sassenage;38360;38474;38;84;38474_0160_00016;adresse non géocodée ban car aucune correspondance trouvée;16 rue de la République;SASSENAGE;38360
2438N4431135F;65 Cours Saint - André 38800 Le Pont-de-Claix;65;Cours Saint - André;Le Pont-de-Claix;38800;38317;38;84;38317_0440_00065;adresse géocodée ban à l'adresse;65 cours Saint - André;LE PONT-DE-CLAIX;38800
2438N0753773F;Rue des Cartonniers 38300 Bourgoin-Jallieu;;Rue des Cartonniers;Bourgoin-Jallieu;38300;38053;38;84;38053_0138;adresse non géocodée ban car aucune correspondance trouvée;30 des Cartonniers;BOURGOIN-JALLIEU;38300
2238N0996084U;Rue du Bourg 38800 Champagnier;;Rue du Bourg;Champagnier;38800;38068;38;84;38068_0014;adresse non géocodée ban car aucune correspondance trouvée;Rue du 19 mars 1962;CHAMPAGNIER;38800
2338N3646284P;Avenue Marius Chorot 38430 Moirans;;Avenue Marius Chorot;Moirans;38430;38239;38;84;38239_0240;adresse non géocodée ban car aucune correspondance trouvée;Avenue Marius Chorot - Rue de la Scierie;Moirans;38430
2138N0655562T;Rue Marcel Reynaud 38920 Crolles;;Marcel Reynaud;Crolles;38920;38140;38;84;38140_0455;adresse géocodée ban à l'adresse;Marcel Reynaud;Crolles;38920
2238N2664632S;Rue Jean Jaurès 38170 Seyssinet-Pariset;;Rue Jean Jaurès;Seyssinet-Pariset;38170;38485;38;84;38485_0420;adresse non géocodée ban car aucune correspondance trouvée;41 Jean Jaurès;SEYSSINET-PARISET;38170
2238N0609765J;route du pont de la preite 38350 Susville;;route du pont de la preite;Susville;38350;38499;38;84;38499_0361;adresse non géocodée ban car aucune correspondance trouvée;Lieu-dit ''Route du pont de la Preite'' RD 115b;SUSVILLE;38350
2238N3118606G;Rue 93 Ème Ram 38750 Huez;;Rue 93 Ème Ram;Huez;38750;38191;38;84;38191_0430;adresse non géocodée ban car aucune correspondance trouvée;Rue du 93ème Ram ALPE D'HUEZ;L ALPE D HUEZ;38750
2238N1253791P;14 Rue de Cartale 38170 Seyssinet-Pariset;14;Rue de Cartale;Seyssinet-Pariset;38170;38485;38;84;38485_0150_00014;adresse non géocodée ban car aucune correspondance trouvée;14 rue de cartale;SEYSSINET-PARISET;38170
2438N0261119Z;Route de Saint Nicolas 38960 Saint-Étienne-de-Crossey;;Route de Saint Nicolas;Saint-Étienne-de-Crossey;38960;38383;38;84;38383_0097;adresse non géocodée ban car aucune correspondance trouvée;Route de Saint Nicolas;SAINT-ETIENNE-DE-CROSSEY;38960
2438N3637700M;21 Rue Antoine Polotti 38400 Saint-Martin-d'Hères;21;Rue Antoine Polotti;Saint-Martin-d'Hères;38400;38421;38;84;38421_0055_00021;adresse géocodée ban à l'adresse;21 rue Antoine Polotti;SAINT-MARTIN-D'HÈRES;38400
2138N0333455A;7 Rue de la Chartreuse 38500 Voiron;7;Rue de la Chartreuse;Voiron;38500;38563;38;84;38563_0284_00007;adresse géocodée ban à l'adresse;7 rue de la Chartreuse;;
;;;;;;;;;;;;;
2238N0408312E;Rue des Sources 38920 Crolles;;Rue des Sources;Crolles;38920;38140;38;84;38140_0604;adresse géocodée ban à l'adresse;Rue des Sources;Crolles;38920
2438N0287449R;Route de Valencin 38540 Saint-Just-Chaleyssin;;Route de Valencin;Saint-Just-Chaleyssin;38540;38408;38;84;38408_1520;adresse non géocodée ban car aucune correspondance trouvée;Route de Valencin, Saint-Just-Chaleyssin;SAINT-JUST-CHALEYSSIN;38540
2238N1253785J;14 Rue de Cartale 38170 Seyssinet-Pariset;14;Rue de Cartale;Seyssinet-Pariset;38170;38485;38;84;38485_0150_00014;adresse non géocodée ban car aucune correspondance trouvée;14 rue de cartale;SEYSSINET-PARISET;38170
2138N0982991E;32b Impasse Charles Bourseul 38340 Voreppe;32b;Impasse Charles Bourseul;Voreppe;38340;38565;38;84;38565_0048_00032_b;adresse non géocodée ban car aucune correspondance trouvée;32B impasse charles bourseul;VOREPPE;38340
2338N2192447U;15 Chemin du Chapitre 38100 Grenoble;15;Chemin du Chapitre;Grenoble;38100;38185;38;84;38185_1390_00015;adresse non géocodée ban car aucune correspondance trouvée;15 chemin du Chapitre;Grenoble;38100
2338N3073386B;18 Avenue Maréchal Leclerc 38300 Bourgoin-Jallieu;18;Avenue Maréchal Leclerc;Bourgoin-Jallieu;38300;38053;38;84;38053_0598_00018;adresse non géocodée ban car aucune correspondance trouvée;18 Avenue du Maréchal LECLERC;BOURGOIN-JALLIEU;38300
2138N0923597U;Pierre Louve 38080 L'Isle-d'Abeau;;Avenue d'Alicante;L'Isle-d'Abeau;38080;38193;38;84;38193_B038;adresse géocodée ban à l'adresse;Avenue d'Alicante;L'Isle-d'Abeau;38080
2338N1298670T;Route de Lyon 38110 Cessieu;;Route de Lyon;Cessieu;38110;38064;38;84;38064_0670;adresse non géocodée ban car aucune correspondance trouvée;de Lyon;CESSIEU;38110
2438N2263080M;Rue Pierre Vincendon 38110 La Tour-du-Pin;;Rue Pierre Vincendon;La Tour-du-Pin;38110;38509;38;84;38509_0750;adresse géocodée ban à l'adresse;Rue Pierre Vincendon;LA TOUR DU PIN;38110
2438N0821066K;Rue de la République 38230 Pont-de-Chéruy;;Rue de la République;Pont-de-Chéruy;38230;38316;38;84;38316_0360;adresse non géocodée ban car aucune correspondance trouvée;Rue de la République;PONT-DE-CHERUY;38230
2338N1124121I;Route du Martinot 38190 Saint-Mury-Monteymond;;Route du Martinot;Saint-Mury-Monteymond;38190;38430;38;84;38430_1250;adresse non géocodée ban car aucune correspondance trouvée;Hameau le Martinot - Lot n°6;SAINT-MURY-MONTEYMOND;38190
2338N1036233A;Montée du Champ de la Vigne 38420 Murianette;;Montée du Champ de la Vigne;Murianette;38420;38271;38;84;38271_0046;adresse non géocodée ban car aucune correspondance trouvée;Montée du champ de vigne;MURIANETTE;38420
2238N2809890O;60 Rue Louise Michel 38100 Grenoble;60;Rue Louise Michel;Grenoble;38100;38185;38;84;38185_4530_00060;adresse non géocodée ban car aucune correspondance trouvée;60 Louise Michel;GRENOBLE;38000
2338N0977877O;1 Rue de la Paix 38130 Échirolles;1;Rue de la Paix;Échirolles;38130;38151;38;84;38151_0460_00001;adresse non géocodée ban car aucune correspondance trouvée;1, rue de la paix;ECHIROLLES;38130
2338N3463564X;Rue de la Girine 38460 Saint-Romain-de-Jalionas;;Rue de la Girine;Saint-Romain-de-Jalionas;38460;38451;38;84;38451_0140;adresse non géocodée ban car aucune correspondance trouvée;Le clos Girine II - lot3;ST ROMAIN DE JALIONAS;38460
2238N1713861P;Route de Grenoble 38470 Vinay;;;Vinay;38470;38559;38;84;38559_0245;adresse géocodée ban à l'adresse;"Lieu-dit ""L'Allégrerie""";VINAY;38470
2238N0402708Q;Avenue Frederic Joliot Curie 38130 Échirolles;;Avenue Frederic Joliot Curie;Échirolles;38130;38151;38;84;38151_0160;adresse non géocodée ban car aucune correspondance trouvée;AVENUE FREDERIC JOLIOT CURIE;ECHIROLLES;38130
2238N2930207D;Chemin de la Cossette 38530 Chapareillan;;Chemin de la Cossette;Chapareillan;38530;38075;38;84;38075_0094;adresse non géocodée ban car aucune correspondance trouvée;LA COSSETTE;CHAPAREILLAN;38530
2138N1042953K;Avenue de la Republique 38090 Villefontaine;;Avenue de la Republique;Villefontaine;38090;38553;38;84;38553_0710;adresse non géocodée ban car aucune correspondance trouvée;Avenue de la République;VILLEFONTAINE;38090
2238N2809908G;60 Rue Louise Michel 38100 Grenoble;60;Rue Louise Michel;Grenoble;38100;38185;38;84;38185_4530_00060;adresse non géocodée ban car aucune correspondance trouvée;60 Louise Michel;GRENOBLE;38000
2238N1366376U;Rue Lafayette 38790 Diémoz;;Rue Lafayette;Diémoz;38790;38144;38;84;38144_0120;adresse non géocodée ban car aucune correspondance trouvée;Rue Lafayette;DIEMOZ;38790
2438N2065528I;22 Rue Francisque Cartallier 38780 Pont-Évêque;22;Rue Francisque Cartallier;Pont-Évêque;38780;38318;38;84;38318_0025_00022;adresse géocodée ban à l'adresse;22 Rue Francisque Cartallier;PONT EVEQUE;38780
2338N0964198L;Rue du Salamot 38210 Tullins;;Rue du Salamot;Tullins;38210;38517;38;84;38517_0624;adresse non géocodée ban car aucune correspondance trouvée;Lotist Domaine du parc - Lot 27 Le Salamot;TULLINS;38210
2338N0430356B;Chemin du Moulin 38470 Beaulieu;;Chemin du Moulin;Beaulieu;38470;38033;38;84;38033_0256;adresse non géocodée ban car aucune correspondance trouvée;Chemin du Moulin;BEAULIEU;38470
2238N0535760A;Rue des Glières 38760 Varces-Allières-et-Risset;;Rue des Glières;Varces-Allières-et-Risset;38760;38524;38;84;38524_0060;adresse non géocodée ban car aucune correspondance trouvée;ZAC des Coins - La Giraudières;VARCES-ALLIERES-ET-RISSET;38760
2338N4094959I;Rue Marx Dormoy 38000 Grenoble;;Rue Marx Dormoy;Grenoble;38000;38185;38;84;38185_4904;adresse non géocodée ban car aucune correspondance trouvée;rue Marx Dormoy;GRENOBLE;38000
2238N0469623H;Rue Marcel Paul 38560 Champ-sur-Drac;;;Champ-sur-Drac;38560;38071;38;84;38071_0167;adresse géocodée ban à l'adresse;rue Marcel Paul;CHAMP SUR DRAC;38560
2238N2573049H;Route de la Sinière 38490 Charancieu;;;Charancieu;38490;38080;38;84;38080_0550;adresse géocodée ban à l'adresse;Route de la Sinière;CHARANCIEU;38490
2338N2542504N;Rue du Rhône 38390 Montalieu-Vercieu;;Rue du Rhône;Montalieu-Vercieu;38390;38247;38;84;38247_0640;adresse non géocodée ban car aucune correspondance trouvée;Rue du Jouvenet;MONTALIEU-VERCIEU;38390
2338N3202289W;Avenue de Verdun 38240 Meylan;;Avenue de Verdun;Meylan;38240;38229;38;84;38229_0790;adresse non géocodée ban car aucune correspondance trouvée;Avenue de Verdun;MEYLAN;38240
2238N2291367J;Chemin des Vignes 38140 Rives;;Chemin des Vignes;Rives;38140;38337;38;84;38337_0340;adresse non géocodée ban car aucune correspondance trouvée;Chemin des vignes;RIVES;38140
2338N4171592T;Route de Lyon 38300 Bourgoin-Jallieu;;Route de Lyon;Bourgoin-Jallieu;38300;38053;38;84;38053_0557;adresse géocodée ban à l'adresse;LE KATTLEYA_BAT B;;
;;;;;;;;;;;;;
2238N0901121J;20 Rue Monge 38100 Grenoble;20;Rue Monge;Grenoble;38100;38185;38;84;38185_5090_00020;adresse non géocodée ban car aucune correspondance trouvée;20 Rue Monge;GRENOBLE;38100
2338N0652672R;Route de Courtenay 38460 Soleymieu;;Route de Courtenay;Soleymieu;38460;38494;38;84;38494_0023;adresse non géocodée ban car aucune correspondance trouvée;1B Route de Courtenay;SOLEYMIEU;38460
2238N0754529F;Avenue d'Echirolles 38320 Eybens;;Avenue d'Echirolles;Eybens;38320;38158;38;84;38158_0078;adresse non géocodée ban car aucune correspondance trouvée;41 Avenue d'Echirolles;EYBENS;38320
2138N0622614N;Rue du Bourg 38800 Champagnier;;Rue du Bourg;Champagnier;38800;38068;38;84;38068_0014;adresse non géocodée ban car aucune correspondance trouvée;Rue du 19 mars 1962;CHAMPAGNIER;38800
2138N1037159O;Route du Mollard 38110 La Chapelle-de-la-Tour;;Route du Mollard;La Chapelle-de-la-Tour;38110;38076;38;84;38076_0480;adresse non géocodée ban car aucune correspondance trouvée;Route du Mollard;LA CHAPELLE-DE-LA-TOUR;38110
2338N3526267O;Chemin de la Jacquetière 38121 Reventin-Vaugris;;Chemin de la Jacquetière;Reventin-Vaugris;38121;38336;38;84;38336_0290;adresse non géocodée ban car aucune correspondance trouvée;Chemin de la Jacquetière;Reventin-Vaugris;38121
2438N1404913B;9 Rue de l'Ile de Sein 38000 Grenoble;9;Rue de l'Ile de Sein;Grenoble;38000;38185;38;84;38185_3662_00009;adresse non géocodée ban car aucune correspondance trouvée;9 rue de l'ile de sein;Grenoble;38000
2338N3871313O;Route de l’Altiport 38750 Huez;;Route de l’Altiport;Huez;38750;38191;38;84;38191_0005;adresse non géocodée ban car aucune correspondance trouvée;Route de l'Altiport;ALPE D'HUEZ;38750
2338N3869288R;Avenue de l’Eclose 38750 Huez;;Avenue de l’Eclose;Huez;38750;38191;38;84;38191_0180;adresse non géocodée ban car aucune correspondance trouvée;Avenue de l'Eclose;Huez;38750
2438N0587157X;Route de Grenoble 38590 Saint-Étienne-de-Saint-Geoirs;;Route de Grenoble;Saint-Étienne-de-Saint-Geoirs;38590;38384;38;84;38384_0156;adresse non géocodée ban car aucune correspondance trouvée;Route de Grenoble;SAINT-ETIENNE-DE-SAINT-GEOIRS;38590
2238N0002592O;Rue Victor Hugo 38540 Heyrieux;;;Heyrieux;38540;38189;38;84;38189_0800;adresse géocodée ban à l'adresse;Bat C;;
;;;;;;;;;;;;;
